Name,State,Phone Number,Location,Full Address,Opening hours
McDonald's,"Texas City, TX 77590",(409) 948-4512,https://www.google.com/maps?cid=8071226625105283502,"3545 Palmer Hwy, Texas City, TX 77590","Friday:[5AM-12AM], Saturday:[5AM-12AM], Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM]"
McDonald's,"Bridge City, TX 77611",(409) 735-7503,https://www.google.com/maps?cid=2250042330649372276,"755 Texas Ave, Bridge City, TX 77611","Friday:[5AM-12AM], Saturday:[5AM-12AM], Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM]"
McDonald's,"College Station, TX 77840",(979) 696-9346,https://www.google.com/maps?cid=9549161180730009603,"2420 Texas Ave, College Station, TX 77840","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Grapevine, TX 76051",(817) 329-3441,https://www.google.com/maps?cid=17467997965141990413,"101 TX-114, Grapevine, TX 76051","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Killeen, TX 76543",(254) 680-3111,https://www.google.com/maps?cid=14093747803182237671,"4300 E Central Texas Expy, Killeen, TX 76543","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Italy, TX 76651",(972) 483-1065,https://www.google.com/maps?cid=4749469782801757947,"100 Kinfolk Road, Italy, TX 76651","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Bryan, TX 77803",(979) 822-1548,https://www.google.com/maps?cid=7250743885465050564,"700 S Texas Ave, Bryan, TX 77803","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Center, TX 75935",(936) 591-0400,https://www.google.com/maps?cid=16765776921530735288,"812 Hurst St, Center, TX 75935","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Rhome, TX 76078",(817) 636-5600,https://www.google.com/maps?cid=5401234743777538995,"4800 TX-114, Rhome, TX 76078","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Houston, TX 77030",(713) 790-1482,https://www.google.com/maps?cid=9876761350336569571,"6621 Fannin St, Houston, TX 77030","Friday:[5AM-3AM], Saturday:[5AM-3AM], Sunday:[5AM-3AM], Monday:[5AM-3AM], Tuesday:[5AM-3AM], Wednesday:[5AM-3AM], Thursday:[5AM-3AM]"
McDonald's,"Brady, TX 76825",(325) 597-7211,https://www.google.com/maps?cid=6310497908388246895,"2106 S Bridge St, Brady, TX 76825","Thursday:[5AM-4AM], Friday:[5AM-4AM], Saturday:[5AM-4AM], Sunday:[5AM-4AM], Monday:[5AM-11PM], Tuesday:[5AM-4AM], Wednesday:[5AM-4AM]"
McDonald's,"College Station, TX 77845",(979) 690-2193,https://www.google.com/maps?cid=13272625512706670576,"4440 Texas 6 Frontage Rd, College Station, TX 77845","Friday:[5AM-12AM], Saturday:[5AM-12AM], Sunday:[5AM-11PM], Monday:[5AM-11PM], Tuesday:[5AM-11PM], Wednesday:[5AM-11PM], Thursday:[5AM-11PM]"
McDonald's,"Weslaco, TX 78596",(956) 968-6554,https://www.google.com/maps?cid=6618251682085548111,"1025 N Texas, Weslaco, TX 78596","Friday:[5AM-12AM], Saturday:[4AM-12AM], Sunday:[4AM-11PM], Monday:[5AM-11PM], Tuesday:[5AM-11PM], Wednesday:[5AM-11PM], Thursday:[5AM-11PM]"
McDonald's,"Winnie, TX 77665",(409) 296-9107,https://www.google.com/maps?cid=3278103601584777639,"45951 I-10, Winnie, TX 77665","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Mathis, TX 78368",(361) 547-7171,https://www.google.com/maps?cid=578897577762353999,"10539 TX-359, Mathis, TX 78368","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Junction, TX 76849",(325) 446-8005,https://www.google.com/maps?cid=13203050833480844024,"2416 N Main St, Junction, TX 76849","Friday:[6AM-11PM], Saturday:[6AM-11PM], Sunday:[6AM-11PM], Monday:[6AM-11PM], Tuesday:[6AM-11PM], Wednesday:[6AM-11PM], Thursday:[6AM-11PM]"
McDonald's,"Lewisville, TX 75067",(972) 315-2881,https://www.google.com/maps?cid=3328693584176167866,"2301 TX-121, Lewisville, TX 75067","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Lytle, TX 78052",(830) 709-2900,https://www.google.com/maps?cid=5496940358240955620,"14830 Lytle Somerset St, Lytle, TX 78052","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Lewisville, TX 75056",(214) 469-1585,https://www.google.com/maps?cid=413510766085226206,"4640 TX-121, Lewisville, TX 75056","Friday:[5AM-2AM], Saturday:[5AM-2AM], Sunday:[5AM-2AM], Monday:[5AM-2AM], Tuesday:[5AM-2AM], Wednesday:[5AM-2AM], Thursday:[5AM-2AM]"
McDonald's,"White Oak, TX 75693",(903) 295-2944,https://www.google.com/maps?cid=2895467044441672846,"609 E U.S. Hwy 80, White Oak, TX 75693","Friday:[4:30AM-1AM], Saturday:[4:30AM-1AM], Sunday:[5:30AM-11:30PM], Monday:[4:30AM-1AM], Tuesday:[4:30AM-1AM], Wednesday:[4:30AM-1AM], Thursday:[4:30AM-1AM]"
McDonald's,"Terrell, TX 75160",(972) 563-3664,https://www.google.com/maps?cid=15534047256761156991,"1704 TX-34 S, Terrell, TX 75160","Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours]"
McDonald's,"Canyon, TX 79015",(806) 655-9502,https://www.google.com/maps?cid=7401408633007881406,"200 23rd St, Canyon, TX 79015","Friday:[5AM-1AM], Saturday:[5AM-1AM], Sunday:[5AM-11PM], Monday:[5AM-11PM], Tuesday:[5AM-11PM], Wednesday:[5AM-11PM], Thursday:[5AM-11PM]"
McDonald's,"Whitehouse, TX 75791",(903) 839-1123,https://www.google.com/maps?cid=17772578700751231453,"603 Hwy 110 S, Whitehouse, TX 75791","Friday:[5AM-10PM], Saturday:[5AM-10PM], Sunday:[6AM-10PM], Monday:[5AM-10PM], Tuesday:[5AM-10PM], Wednesday:[5AM-10PM], Thursday:[5AM-10PM]"
McDonald's,"Orange, TX 77630",(409) 745-4228,https://www.google.com/maps?cid=6552454346074141720,"2311 TX-62 N, Orange, TX 77630","Friday:[5AM-12AM], Saturday:[5AM-12AM], Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM]"
McDonald's,"Bulverde, TX 78070",(830) 980-8080,https://www.google.com/maps?cid=13617434265106867826,"20615 TX-46, Bulverde, TX 78070","Friday:[6AM-12AM], Saturday:[6AM-12AM], Sunday:[6AM-11PM], Monday:[6AM-11PM], Tuesday:[6AM-11PM], Wednesday:[6AM-11PM], Thursday:[6AM-11PM]"
McDonald's,"Plano, TX 75024",(972) 668-4040,https://www.google.com/maps?cid=375425350477159777,"5004 State Hwy 121, Plano, TX 75024","Friday:[5AM-2AM], Saturday:[5AM-2AM], Sunday:[5AM-2AM], Monday:[5AM-2AM], Tuesday:[5AM-2AM], Wednesday:[5AM-2AM], Thursday:[5AM-2AM]"
McDonald's,"Dallas, TX 75240",(972) 661-9004,https://www.google.com/maps?cid=14726532965122731420,"13350 Dallas Pkwy, Dallas, TX 75240","Friday:[8AM-9PM], Saturday:[8AM-9PM], Sunday:[7AM-5PM], Monday:[10AM-8PM], Tuesday:[7AM-9PM], Wednesday:[7AM-9PM], Thursday:[7AM-9PM]"
McDonald's,"La Marque, TX 77568",(409) 935-0212,https://www.google.com/maps?cid=16368389038538952566,"2300 Gulf Fwy, La Marque, TX 77568","Friday:[4AM-12AM], Saturday:[4AM-12AM], Sunday:[4AM-11PM], Monday:[4AM-11PM], Tuesday:[4AM-11PM], Wednesday:[4AM-11PM], Thursday:[4AM-11PM]"
