Name,Full Address,State,Phone Number,Location,Opening hours
McDonald's,"40 SE Wyoming Blvd, Casper, WY 82609","Casper, WY 82609",(307) 237-8320,https://www.google.com/maps?cid=14884612212082188255,"Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
McDonald's,"1110 W Broadway, Jackson, WY 83001","Jackson, WY 83001",(307) 733-7444,https://www.google.com/maps?cid=9342272991673349885,"Sunday:[5AM-11PM], Monday:[5AM-11PM], Tuesday:[5AM-11PM], Wednesday:[5AM-11PM], Thursday:[5AM-11PM], Friday:[5AM-11PM], Saturday:[5AM-11PM]"
McDonald's,"800 E Valley Rd, Torrington, WY 82240","Torrington, WY 82240",(307) 532-0120,https://www.google.com/maps?cid=5896777886449086292,"Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
McDonald's,"2005 17th St, Cody, WY 82414","Cody, WY 82414",(307) 587-5900,https://www.google.com/maps?cid=5238623105230503533,"Sunday:[6AM-9PM], Monday:[6AM-9PM], Tuesday:[6AM-9PM], Wednesday:[6AM-9PM], Thursday:[6AM-9PM], Friday:[6AM-9PM], Saturday:[6AM-9PM]"
McDonald's,"806 Camel Dr, Gillette, WY 82716","Gillette, WY 82716",(307) 686-0606,https://www.google.com/maps?cid=3055315382726486196,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]"
McDonald's,"600 W F St, Casper, WY 82601","Casper, WY 82601",(307) 265-2363,https://www.google.com/maps?cid=12054960121596484340,"Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
McDonald's,"2535 E Lincolnway, Cheyenne, WY 82001","Cheyenne, WY 82001",(307) 632-1222,https://www.google.com/maps?cid=16546502458042951217,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]"
McDonald's,"2225 Plaza St, Rawlins, WY 82301","Rawlins, WY 82301",(307) 324-7377,https://www.google.com/maps?cid=9874570049837972265,"Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
McDonald's,"212 Front St, Evanston, WY 82930","Evanston, WY 82930",(307) 789-0595,https://www.google.com/maps?cid=17882559026862111361,"Sunday:[5AM-11PM], Monday:[5AM-11PM], Tuesday:[5AM-11PM], Wednesday:[5AM-11PM], Thursday:[5AM-11PM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
McDonald's,"2146 Coffeen Ave, Sheridan, WY 82801","Sheridan, WY 82801",(307) 673-1100,https://www.google.com/maps?cid=10291131519188830670,"Sunday:[6AM-11PM], Monday:[6AM-11PM], Tuesday:[6AM-11PM], Wednesday:[6AM-11PM], Thursday:[6AM-11PM], Friday:[6AM-11PM], Saturday:[6AM-11PM]"
McDonald's,"5700 Yellowstone Rd, Cheyenne, WY 82009","Cheyenne, WY 82009",(307) 634-2757,https://www.google.com/maps?cid=15678332052600519834,"Sunday:[5AM-10PM], Monday:[5AM-10PM], Tuesday:[5AM-10PM], Wednesday:[5AM-10PM], Thursday:[5AM-10PM], Friday:[5AM-11PM], Saturday:[5AM-11PM]"
McDonald's,"1090 W Yellowstone Hwy, Douglas, WY 82633","Douglas, WY 82633",(307) 358-9700,https://www.google.com/maps?cid=3522557244186963267,"Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
McDonald's,"480 E Hart St, Buffalo, WY 82834","Buffalo, WY 82834",(307) 684-7036,https://www.google.com/maps?cid=14670949116267455707,"Sunday:[6AM-11PM], Monday:[6AM-11PM], Tuesday:[6AM-11PM], Wednesday:[6AM-11PM], Thursday:[6AM-11PM], Friday:[6AM-11PM], Saturday:[6AM-11PM]"
McDonald's,"3000 Grand Ave, Laramie, WY 82070","Laramie, WY 82070",(307) 745-3600,https://www.google.com/maps?cid=2162795928016844226,"Sunday:[4AM-1AM], Monday:[5AM-1AM], Tuesday:[5AM-1AM], Wednesday:[5AM-1AM], Thursday:[5AM-4AM], Friday:[5AM-12AM], Saturday:[Open 24 hours]"
McDonald's,"235 McFarlane Dr, Lander, WY 82520","Lander, WY 82520",(307) 332-3955,https://www.google.com/maps?cid=9555239582864154346,"Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
McDonald's,"813 N Federal Blvd, Riverton, WY 82501","Riverton, WY 82501",(307) 856-5068,https://www.google.com/maps?cid=417057468177326291,"Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
McDonald's,"111 N Evarts St, Powell, WY 82435","Powell, WY 82435",(307) 754-7918,https://www.google.com/maps?cid=8502865192923884023,"Sunday:[6AM-10PM], Monday:[6AM-10PM], Tuesday:[6AM-10PM], Wednesday:[6AM-10PM], Thursday:[6AM-10PM], Friday:[6AM-10PM], Saturday:[6AM-10PM]"
McDonald's,"599 E 4th S, Green River, WY 82935","Green River, WY 82935",(307) 875-7868,https://www.google.com/maps?cid=11758994061955508693,"Sunday:[5AM-11PM], Monday:[5AM-11PM], Tuesday:[5AM-11PM], Wednesday:[5AM-11PM], Thursday:[5AM-11PM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
McDonald's,"1687 Sunset Dr, Rock Springs, WY 82901","Rock Springs, WY 82901",(307) 382-3080,https://www.google.com/maps?cid=12533678786985182923,"Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
McDonald's,"4010 Plaza Dr, Casper, WY 82604","Casper, WY 82604",(307) 265-5121,https://www.google.com/maps?cid=6695680302099559090,"Sunday:[5AM-12AM], Monday:[5AM-12AM], Tuesday:[5AM-12AM], Wednesday:[5AM-12AM], Thursday:[5AM-12AM], Friday:[5AM-12AM], Saturday:[5AM-12AM]"
