Name,State,Phone Number,Location,Full Address,Opening hours,Pin,"Name, State,Pin"
McDonald's,Texas City,"<a href=""tel:+1 409-948-4512"" rel=""nofollow"">+1 409-948-4512</a>","<a href=""https://www.google.com/maps?cid=8071226625105283502"" target=""_blank"" rel=""nofollow"">Get Directions</a>","3545 Palmer Hwy, Texas City, TX 77590",Fri : 5am-12am <br> Sat : 5am-12am <br> Sun : 5am-12am <br> Mon : 5am-12am <br> Tue : 5am-12am <br> Wed : 5am-12am <br> Thu : 5am-12am,TX 77590,"McDonald's, Texas City, TX 77590"
McDonald's,Bridge City,"<a href=""tel:+1 409-735-7503"" rel=""nofollow"">+1 409-735-7503</a>","<a href=""https://www.google.com/maps?cid=2250042330649372276"" target=""_blank"" rel=""nofollow"">Get Directions</a>","755 Texas Ave, Bridge City, TX 77611",Fri : 5am-12am <br> Sat : 5am-12am <br> Sun : 5am-12am <br> Mon : 5am-12am <br> Tue : 5am-12am <br> Wed : 5am-12am <br> Thu : 5am-12am,TX 77611,"McDonald's, Bridge City, TX 77611"
McDonald's,College Station,"<a href=""tel:+1 979-696-9346"" rel=""nofollow"">+1 979-696-9346</a>","<a href=""https://www.google.com/maps?cid=9549161180730009603"" target=""_blank"" rel=""nofollow"">Get Directions</a>","2420 Texas Ave, College Station, TX 77840",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 77840,"McDonald's, College Station, TX 77840"
McDonald's,Grapevine,"<a href=""tel:+1 817-329-3441"" rel=""nofollow"">+1 817-329-3441</a>","<a href=""https://www.google.com/maps?cid=17467997965141990413"" target=""_blank"" rel=""nofollow"">Get Directions</a>","101 TX-114, Grapevine, TX 76051",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 76051,"McDonald's, Grapevine, TX 76051"
McDonald's,Killeen,"<a href=""tel:+1 254-680-3111"" rel=""nofollow"">+1 254-680-3111</a>","<a href=""https://www.google.com/maps?cid=14093747803182237671"" target=""_blank"" rel=""nofollow"">Get Directions</a>","4300 E Central Texas Expy, Killeen, TX 76543",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 76543,"McDonald's, Killeen, TX 76543"
McDonald's,Italy,"<a href=""tel:+1 972-483-1065"" rel=""nofollow"">+1 972-483-1065</a>","<a href=""https://www.google.com/maps?cid=4749469782801757947"" target=""_blank"" rel=""nofollow"">Get Directions</a>","100 Kinfolk Road, Italy, TX 76651",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 76651,"McDonald's, Italy, TX 76651"
McDonald's,Bryan,"<a href=""tel:+1 979-822-1548"" rel=""nofollow"">+1 979-822-1548</a>","<a href=""https://www.google.com/maps?cid=7250743885465050564"" target=""_blank"" rel=""nofollow"">Get Directions</a>","700 S Texas Ave, Bryan, TX 77803",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 77803,"McDonald's, Bryan, TX 77803"
McDonald's,Center,"<a href=""tel:+1 936-591-0400"" rel=""nofollow"">+1 936-591-0400</a>","<a href=""https://www.google.com/maps?cid=16765776921530735288"" target=""_blank"" rel=""nofollow"">Get Directions</a>","812 Hurst St, Center, TX 75935",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 75935,"McDonald's, Center, TX 75935"
McDonald's,Rhome,"<a href=""tel:+1 817-636-5600"" rel=""nofollow"">+1 817-636-5600</a>","<a href=""https://www.google.com/maps?cid=5401234743777538995"" target=""_blank"" rel=""nofollow"">Get Directions</a>","4800 TX-114, Rhome, TX 76078",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 76078,"McDonald's, Rhome, TX 76078"
McDonald's,Houston,"<a href=""tel:+1 713-790-1482"" rel=""nofollow"">+1 713-790-1482</a>","<a href=""https://www.google.com/maps?cid=9876761350336569571"" target=""_blank"" rel=""nofollow"">Get Directions</a>","6621 Fannin St, Houston, TX 77030",Fri : 5am-3am <br> Sat : 5am-3am <br> Sun : 5am-3am <br> Mon : 5am-3am <br> Tue : 5am-3am <br> Wed : 5am-3am <br> Thu : 5am-3am,TX 77030,"McDonald's, Houston, TX 77030"
